Gender,Married,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status,Dependents,TotalIncome
1,1,1,0,4583,1508.0,128.0,360.0,1.0,0,0,1,6091.0
1,1,1,1,3000,0.0,66.0,360.0,1.0,2,1,0,3000.0
1,1,0,0,2583,2358.0,120.0,360.0,1.0,2,1,0,4941.0
1,0,1,0,6000,0.0,141.0,360.0,1.0,2,1,0,6000.0
1,1,1,1,5417,4196.0,267.0,360.0,1.0,2,1,2,9613.0
1,1,0,0,2333,1516.0,95.0,360.0,1.0,2,1,0,3849.0
1,1,1,0,3036,2504.0,158.0,360.0,0.0,1,0,3,5540.0
1,1,1,0,4006,1526.0,168.0,360.0,1.0,2,1,2,5532.0
1,1,1,0,12841,10968.0,349.0,360.0,1.0,1,0,1,23809.0
1,1,1,0,3200,700.0,70.0,360.0,1.0,2,1,2,3900.0
1,1,1,0,3073,8106.0,200.0,360.0,1.0,2,1,2,11179.0
1,0,1,0,1853,2840.0,114.0,360.0,1.0,0,0,0,4693.0
1,1,1,0,1299,1086.0,17.0,120.0,1.0,2,1,2,2385.0
1,0,1,0,4950,0.0,125.0,360.0,1.0,2,1,0,4950.0
0,0,1,0,3510,0.0,76.0,360.0,0.0,2,0,0,3510.0
1,1,0,0,4887,0.0,133.0,360.0,1.0,0,0,0,4887.0
1,1,0,0,7660,0.0,104.0,360.0,0.0,2,0,0,7660.0
1,1,1,0,5955,5625.0,315.0,360.0,1.0,2,1,1,11580.0
1,1,0,0,2600,1911.0,116.0,360.0,0.0,1,0,0,4511.0
1,1,1,1,9560,0.0,191.0,360.0,1.0,1,1,0,9560.0
1,1,1,0,2799,2253.0,122.0,360.0,1.0,1,1,0,5052.0
1,1,0,0,4226,1040.0,110.0,360.0,1.0,2,1,2,5266.0
1,0,0,0,1442,0.0,35.0,360.0,1.0,2,0,0,1442.0
1,0,1,0,3167,0.0,74.0,360.0,1.0,2,0,0,3167.0
1,0,1,1,4692,0.0,106.0,360.0,1.0,0,0,1,4692.0
1,1,1,0,3500,1667.0,114.0,360.0,1.0,1,1,0,5167.0
1,0,1,0,12500,3000.0,320.0,360.0,1.0,0,0,3,15500.0
0,1,1,0,3667,1459.0,144.0,360.0,1.0,1,1,0,5126.0
1,0,1,0,4166,7210.0,184.0,360.0,1.0,2,1,0,11376.0
1,0,0,0,3748,1668.0,110.0,360.0,1.0,1,1,0,5416.0
1,0,1,0,3600,0.0,80.0,360.0,1.0,2,0,0,3600.0
1,0,1,0,1800,1213.0,47.0,360.0,1.0,2,1,0,3013.0
1,1,1,0,3941,2336.0,134.0,360.0,1.0,1,1,0,6277.0
1,1,1,0,5649,0.0,44.0,360.0,1.0,2,1,1,5649.0
1,1,1,0,5821,0.0,144.0,360.0,1.0,2,1,0,5821.0
0,1,1,0,2645,3440.0,120.0,360.0,0.0,2,0,0,6085.0
0,0,1,0,4000,2275.0,144.0,360.0,1.0,1,1,0,6275.0
0,1,0,0,1928,1644.0,100.0,360.0,1.0,1,1,0,3572.0
0,0,1,0,3086,0.0,120.0,360.0,1.0,1,1,0,3086.0
0,0,1,0,4230,0.0,112.0,360.0,1.0,1,0,0,4230.0
1,1,1,0,4616,0.0,134.0,360.0,1.0,2,0,2,4616.0
0,1,1,1,11500,0.0,286.0,360.0,0.0,2,0,1,11500.0
1,1,1,0,2708,1167.0,97.0,360.0,1.0,1,1,2,3875.0
1,1,1,0,2132,1591.0,96.0,360.0,1.0,1,1,0,3723.0
1,1,1,0,3366,2200.0,135.0,360.0,1.0,0,0,0,5566.0
1,1,1,0,8080,2250.0,180.0,360.0,1.0,2,1,1,10330.0
1,1,0,0,3357,2859.0,144.0,360.0,1.0,2,1,2,6216.0
1,1,1,0,2500,3796.0,120.0,360.0,1.0,2,1,0,6296.0
1,1,1,0,3029,0.0,99.0,360.0,1.0,2,1,3,3029.0
1,1,0,1,2609,3449.0,165.0,180.0,0.0,0,0,0,6058.0
0,0,1,0,4166,0.0,116.0,360.0,0.0,1,0,0,4166.0
1,1,1,0,5726,4595.0,258.0,360.0,1.0,1,0,0,10321.0
1,0,0,0,3200,2254.0,126.0,180.0,0.0,2,0,0,5454.0
1,1,1,0,10750,0.0,312.0,360.0,1.0,2,1,1,10750.0
1,1,0,1,7100,0.0,125.0,60.0,1.0,2,1,3,7100.0
0,0,1,0,4300,0.0,136.0,360.0,0.0,1,0,0,4300.0
1,1,1,0,3208,3066.0,172.0,360.0,1.0,2,1,0,6274.0
1,1,0,1,1875,1875.0,97.0,360.0,1.0,1,1,2,3750.0
1,0,1,0,3500,0.0,81.0,300.0,1.0,1,1,0,3500.0
1,1,1,1,5266,1774.0,187.0,360.0,1.0,1,1,3,7040.0
1,0,1,0,3750,0.0,113.0,480.0,1.0,2,0,0,3750.0
1,0,1,0,3750,4750.0,176.0,360.0,1.0,2,0,0,8500.0
1,1,1,1,1000,3022.0,110.0,360.0,1.0,2,0,1,4022.0
1,1,1,0,3167,4000.0,180.0,300.0,0.0,1,0,3,7167.0
0,0,1,0,3846,0.0,111.0,360.0,1.0,1,1,0,3846.0
0,1,1,0,1378,1881.0,167.0,360.0,1.0,2,0,2,3259.0
1,1,1,0,3988,0.0,50.0,240.0,1.0,2,1,1,3988.0
1,0,1,0,2366,2531.0,136.0,360.0,1.0,1,1,0,4897.0
1,1,1,0,2500,2118.0,104.0,360.0,1.0,1,1,0,4618.0
1,0,1,0,8566,0.0,210.0,360.0,1.0,2,1,0,8566.0
1,1,1,0,5695,4167.0,175.0,360.0,1.0,1,1,0,9862.0
1,1,1,0,2958,2900.0,131.0,360.0,1.0,1,1,0,5858.0
1,1,1,0,6250,5654.0,188.0,180.0,1.0,1,1,2,11904.0
1,1,0,0,3273,1820.0,81.0,360.0,1.0,2,1,2,5093.0
1,0,1,0,4133,0.0,122.0,360.0,1.0,1,1,0,4133.0
1,0,0,0,3620,0.0,25.0,120.0,1.0,1,1,0,3620.0
0,1,1,0,2484,2302.0,137.0,360.0,1.0,1,1,0,4786.0
1,1,1,0,1977,997.0,50.0,360.0,1.0,1,1,0,2974.0
1,1,0,0,4188,0.0,115.0,180.0,1.0,1,1,0,4188.0
1,1,1,0,1759,3541.0,131.0,360.0,1.0,1,1,0,5300.0
1,1,0,0,4288,3263.0,133.0,180.0,1.0,2,1,2,7551.0
1,0,1,0,4843,3806.0,151.0,360.0,1.0,1,1,0,8649.0
1,1,1,0,3052,1030.0,100.0,360.0,1.0,2,1,1,4082.0
1,1,1,0,11417,1126.0,225.0,360.0,1.0,2,1,2,12543.0
1,1,1,0,3800,3600.0,216.0,360.0,0.0,2,0,2,7400.0
1,1,0,0,2071,754.0,94.0,480.0,1.0,1,1,3,2825.0
1,0,1,0,5316,0.0,136.0,360.0,1.0,2,1,0,5316.0
1,1,1,0,14583,0.0,185.0,180.0,1.0,0,1,1,14583.0
0,1,1,0,3167,2283.0,154.0,360.0,1.0,1,1,0,5450.0
1,1,1,0,5568,2142.0,175.0,360.0,1.0,0,0,0,7710.0
0,0,1,0,10408,0.0,259.0,360.0,1.0,2,1,0,10408.0
0,0,1,0,4166,0.0,44.0,360.0,1.0,1,1,0,4166.0
0,0,1,0,2137,8980.0,137.0,360.0,0.0,1,1,0,11117.0
1,1,1,0,2957,0.0,81.0,360.0,1.0,1,1,2,2957.0
1,1,0,0,4300,2014.0,194.0,360.0,1.0,0,1,0,6314.0
1,1,1,1,10513,3850.0,160.0,180.0,0.0,2,0,1,14363.0
1,0,1,0,2014,1929.0,74.0,360.0,1.0,2,1,0,3943.0
1,0,1,0,2718,0.0,70.0,360.0,1.0,1,1,0,2718.0
1,1,1,1,3459,0.0,25.0,120.0,1.0,1,1,0,3459.0
1,0,1,0,4895,0.0,102.0,360.0,1.0,1,1,0,4895.0
1,1,1,0,4000,7750.0,290.0,360.0,1.0,1,0,3,11750.0
0,1,1,0,4583,0.0,84.0,360.0,1.0,0,0,0,4583.0
1,1,1,1,3316,3500.0,88.0,360.0,1.0,2,1,2,6816.0
1,0,1,0,14999,0.0,242.0,360.0,0.0,1,0,0,14999.0
1,1,0,0,4200,1430.0,129.0,360.0,1.0,0,0,2,5630.0
1,1,1,0,5042,2083.0,185.0,360.0,1.0,0,0,2,7125.0
1,0,1,0,5417,0.0,168.0,360.0,1.0,2,1,0,5417.0
1,0,1,1,6950,0.0,175.0,180.0,1.0,1,1,0,6950.0
1,1,1,0,2698,2034.0,122.0,360.0,1.0,1,1,0,4732.0
1,1,1,0,11757,0.0,187.0,180.0,1.0,2,1,2,11757.0
0,1,1,0,2330,4486.0,100.0,360.0,1.0,1,1,0,6816.0
0,1,1,0,14866,0.0,70.0,360.0,1.0,2,1,2,14866.0
1,1,1,0,1538,1425.0,30.0,360.0,1.0,2,1,1,2963.0
0,0,1,0,10000,1666.0,225.0,360.0,1.0,0,0,0,11666.0
1,1,1,0,4860,830.0,125.0,360.0,1.0,1,1,0,5690.0
1,0,1,0,6277,0.0,118.0,360.0,0.0,0,0,0,6277.0
1,1,1,1,2577,3750.0,152.0,360.0,1.0,0,1,0,6327.0
1,0,1,0,9166,0.0,244.0,360.0,1.0,2,0,0,9166.0
1,1,0,0,2281,0.0,113.0,360.0,1.0,0,0,2,2281.0
1,0,1,0,3254,0.0,50.0,360.0,1.0,2,1,0,3254.0
1,1,1,0,39999,0.0,600.0,180.0,0.0,1,1,3,39999.0
1,1,1,0,9538,0.0,187.0,360.0,1.0,2,1,1,9538.0
1,1,1,0,4583,5625.0,255.0,360.0,1.0,1,1,0,10208.0
1,1,0,0,1863,1041.0,98.0,360.0,1.0,1,1,0,2904.0
1,1,1,0,7933,0.0,275.0,360.0,1.0,2,0,0,7933.0
1,1,1,0,3089,1280.0,121.0,360.0,0.0,1,0,1,4369.0
1,1,1,0,4167,1447.0,158.0,360.0,1.0,0,1,2,5614.0
1,1,1,0,9323,0.0,75.0,180.0,1.0,2,1,0,9323.0
0,1,1,0,4583,0.0,112.0,360.0,1.0,0,0,0,4583.0
1,1,1,0,2439,3333.0,129.0,360.0,1.0,0,1,0,5772.0
1,0,1,0,2237,0.0,63.0,480.0,0.0,1,0,0,2237.0
1,1,1,0,8000,0.0,200.0,360.0,1.0,1,1,2,8000.0
1,1,0,0,3522,0.0,81.0,180.0,1.0,0,0,3,3522.0
1,1,1,0,5708,5625.0,187.0,360.0,1.0,1,1,0,11333.0
1,1,0,1,4344,736.0,87.0,360.0,1.0,1,0,0,5080.0
1,1,1,0,3497,1964.0,116.0,360.0,1.0,0,1,0,5461.0
1,1,1,0,2045,1619.0,101.0,360.0,1.0,0,1,2,3664.0
1,1,1,0,5516,11300.0,495.0,360.0,0.0,1,0,3,16816.0
1,1,1,0,3750,0.0,116.0,360.0,1.0,1,1,1,3750.0
1,0,0,0,2333,1451.0,102.0,480.0,0.0,2,0,0,3784.0
1,1,1,0,6400,7250.0,180.0,360.0,0.0,2,0,1,13650.0
1,1,1,0,4600,0.0,73.0,180.0,1.0,1,1,0,4600.0
1,1,1,0,33846,0.0,260.0,360.0,1.0,1,0,1,33846.0
0,1,1,0,3625,0.0,108.0,360.0,1.0,1,1,0,3625.0
1,1,1,1,39147,4750.0,120.0,360.0,1.0,1,1,0,43897.0
1,1,1,1,2178,0.0,66.0,300.0,0.0,0,0,1,2178.0
1,1,1,0,9328,0.0,188.0,180.0,1.0,0,1,0,9328.0
1,0,0,0,4885,0.0,48.0,360.0,1.0,0,1,0,4885.0
1,0,1,0,12000,0.0,164.0,360.0,1.0,1,0,0,12000.0
1,1,0,0,6033,0.0,160.0,360.0,1.0,2,0,0,6033.0
1,0,1,0,3858,0.0,76.0,360.0,1.0,1,1,0,3858.0
1,0,1,0,4191,0.0,120.0,360.0,1.0,0,1,0,4191.0
1,1,1,0,3125,2583.0,170.0,360.0,1.0,1,0,1,5708.0
1,0,1,0,8333,3750.0,187.0,360.0,1.0,0,1,0,12083.0
1,0,1,1,11000,0.0,83.0,360.0,1.0,2,0,0,11000.0
1,1,0,0,2600,2500.0,90.0,360.0,1.0,1,1,1,5100.0
1,0,1,0,4923,0.0,166.0,360.0,0.0,1,1,2,4923.0
1,1,0,0,3500,1083.0,135.0,360.0,1.0,2,1,1,4583.0
1,1,0,0,3917,0.0,124.0,360.0,1.0,1,1,2,3917.0
0,0,0,0,4408,0.0,120.0,360.0,1.0,1,1,0,4408.0
0,0,1,0,3244,0.0,80.0,360.0,1.0,2,1,0,3244.0
1,0,0,0,3975,2531.0,55.0,360.0,1.0,0,1,0,6506.0
1,0,1,0,2479,0.0,59.0,360.0,1.0,2,1,0,2479.0
1,0,1,0,3418,0.0,127.0,360.0,1.0,1,0,0,3418.0
0,0,1,0,10000,0.0,214.0,360.0,1.0,1,0,0,10000.0
1,1,1,0,3430,1250.0,128.0,360.0,0.0,1,0,3,4680.0
1,1,1,1,7787,0.0,240.0,360.0,1.0,2,1,1,7787.0
1,1,0,1,5703,0.0,130.0,360.0,1.0,0,1,3,5703.0
1,1,1,0,3173,3021.0,137.0,360.0,1.0,2,1,0,6194.0
1,1,0,0,3850,983.0,100.0,360.0,1.0,1,1,3,4833.0
1,1,1,0,150,1800.0,135.0,360.0,1.0,0,0,0,1950.0
1,1,1,0,3727,1775.0,131.0,360.0,1.0,1,1,0,5502.0
1,1,1,0,2221,0.0,60.0,360.0,0.0,2,0,0,2221.0
1,1,1,0,4009,1717.0,116.0,360.0,1.0,1,1,2,5726.0
1,0,1,0,2971,2791.0,144.0,360.0,1.0,1,1,0,5762.0
1,1,1,0,6250,0.0,128.0,360.0,1.0,1,1,0,6250.0
1,1,1,0,3250,0.0,170.0,360.0,1.0,0,0,0,3250.0
1,1,1,0,6250,1695.0,210.0,360.0,1.0,1,1,2,7945.0
1,0,1,1,6400,0.0,200.0,360.0,1.0,0,1,0,6400.0
1,1,1,0,2491,2054.0,104.0,360.0,1.0,1,1,1,4545.0
0,0,1,0,8333,0.0,280.0,360.0,1.0,1,1,0,8333.0
1,1,1,0,3155,1779.0,140.0,360.0,1.0,1,1,1,4934.0
1,1,1,0,5500,1260.0,170.0,360.0,1.0,0,1,1,6760.0
0,0,1,0,3812,0.0,112.0,360.0,1.0,0,1,1,3812.0
1,1,1,0,3315,0.0,96.0,360.0,1.0,1,1,1,3315.0
1,1,1,0,5819,5000.0,120.0,360.0,1.0,0,1,2,10819.0
1,1,0,0,2510,1983.0,140.0,180.0,1.0,2,0,1,4493.0
1,0,1,0,2965,5701.0,155.0,60.0,1.0,2,1,0,8666.0
1,1,1,1,6250,1300.0,108.0,360.0,1.0,0,1,2,7550.0
1,1,0,0,3406,4417.0,123.0,360.0,1.0,1,1,0,7823.0
1,0,1,1,6050,4333.0,120.0,180.0,1.0,2,0,0,10383.0
1,1,1,0,9703,0.0,112.0,360.0,1.0,2,1,2,9703.0
1,1,0,0,6608,0.0,137.0,180.0,1.0,2,1,1,6608.0
1,1,1,0,2882,1843.0,123.0,480.0,1.0,1,1,1,4725.0
1,1,1,0,1809,1868.0,90.0,360.0,1.0,2,1,0,3677.0
1,1,0,0,1668,3890.0,201.0,360.0,0.0,1,0,0,5558.0
0,0,1,0,3427,0.0,138.0,360.0,1.0,2,0,2,3427.0
1,0,0,1,2583,2167.0,104.0,360.0,1.0,0,1,0,4750.0
1,1,0,0,2661,7101.0,279.0,180.0,1.0,1,1,1,9762.0
1,0,1,1,16250,0.0,192.0,360.0,0.0,2,0,0,16250.0
0,0,1,0,3083,0.0,255.0,360.0,1.0,0,1,3,3083.0
1,0,0,0,6045,0.0,115.0,360.0,0.0,0,0,0,6045.0
1,1,1,0,5250,0.0,94.0,360.0,1.0,2,0,3,5250.0
1,1,1,0,14683,2100.0,304.0,360.0,1.0,0,0,0,16783.0
1,0,1,0,2060,2209.0,134.0,360.0,1.0,1,1,0,4269.0
0,0,1,0,3481,0.0,155.0,36.0,1.0,1,0,1,3481.0
0,0,1,0,7200,0.0,120.0,360.0,1.0,0,1,0,7200.0
1,0,1,1,5166,0.0,128.0,360.0,1.0,1,1,0,5166.0
1,0,1,0,4095,3447.0,151.0,360.0,1.0,0,1,0,7542.0
1,1,1,0,4708,1387.0,150.0,360.0,1.0,1,1,2,6095.0
1,1,1,0,4333,1811.0,160.0,360.0,0.0,2,1,3,6144.0
0,0,1,0,2876,1560.0,90.0,360.0,1.0,2,1,1,4436.0
0,0,1,0,3237,0.0,30.0,360.0,1.0,2,1,0,3237.0
1,1,1,0,11146,0.0,136.0,360.0,1.0,2,1,0,11146.0
1,0,1,0,2833,1857.0,126.0,360.0,1.0,0,1,0,4690.0
1,1,1,0,2620,2223.0,150.0,360.0,1.0,1,1,0,4843.0
1,1,1,0,3900,0.0,90.0,360.0,1.0,1,1,2,3900.0
1,1,1,0,2750,1842.0,115.0,360.0,1.0,1,1,1,4592.0
1,1,1,0,3993,3274.0,207.0,360.0,1.0,1,1,0,7267.0
1,1,1,0,3103,1300.0,80.0,360.0,1.0,2,1,0,4403.0
1,1,1,0,14583,0.0,436.0,360.0,1.0,1,1,0,14583.0
1,0,0,1,4053,2426.0,158.0,360.0,0.0,2,0,1,6479.0
1,1,1,0,3927,800.0,112.0,360.0,1.0,1,1,0,4727.0
1,1,1,0,2301,985.7999878,78.0,180.0,1.0,2,1,2,3286.7999878
0,0,1,0,1811,1666.0,54.0,360.0,1.0,2,1,0,3477.0
1,0,1,0,3158,3053.0,89.0,360.0,1.0,0,1,0,6211.0
0,0,1,1,2600,1717.0,99.0,300.0,1.0,1,0,0,4317.0
1,1,1,0,3704,2000.0,120.0,360.0,1.0,0,1,0,5704.0
0,0,1,0,4124,0.0,115.0,360.0,1.0,1,1,0,4124.0
1,0,1,0,9508,0.0,187.0,360.0,1.0,0,1,0,9508.0
1,1,1,0,3075,2416.0,139.0,360.0,1.0,0,1,0,5491.0
1,1,1,0,4400,0.0,127.0,360.0,0.0,1,0,2,4400.0
1,1,1,0,3153,1560.0,134.0,360.0,1.0,2,1,2,4713.0
1,1,1,0,2383,3334.0,172.0,360.0,1.0,1,1,0,5717.0
1,1,1,0,6875,0.0,200.0,360.0,1.0,1,1,1,6875.0
0,1,1,0,4666,0.0,135.0,360.0,1.0,2,1,1,4666.0
0,0,1,0,5000,2541.0,151.0,480.0,1.0,0,0,0,7541.0
1,1,1,0,2014,2925.0,113.0,360.0,1.0,2,0,1,4939.0
